image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
1.pgm,512x512,0.992159,0.973348,5.36803,7305011.93,0.001926,0.001627,7.99921,286.5,0.001928,0.001621,7.999238,276.66,99.6201,34.6054,88.2438,99.6147,34.6051,88.2429,6.7524,0.0265,0.0675,35381,4.8544,True,inf
10.pgm,512x512,0.968297,0.975716,7.505083,199431.75,0.000262,0.001694,7.999314,248.98,0.000258,0.00169,7.999311,249.94,99.5956,34.8383,88.8377,99.596,34.8382,88.8374,2.383,0.0093,0.0238,12524,3.5667,True,inf
100.pgm,512x512,0.977573,0.958831,7.266857,221928.12,0.001305,0.000196,7.999353,235.36,0.001296,0.000191,7.999373,228.02,99.6075,27.9913,71.3779,99.6067,27.9918,71.3791,8.3378,0.0327,0.0834,44203,4.1156,True,inf
1000.pgm,512x512,0.990607,0.983456,7.484387,356928.78,-0.001259,-0.000286,7.999307,252.24,-0.001274,-0.000293,7.999253,271.26,99.604,36.3118,92.595,99.6029,36.312,92.5955,9.4116,0.0369,0.0941,49150,4.2723,True,inf
10000.pgm,512x512,0.971662,0.97182,7.562326,136704.89,0.002183,0.000307,7.999212,286.65,0.002191,0.000307,7.999204,289.11,99.6304,30.8847,78.756,99.6288,30.8847,78.756,9.2354,0.0362,0.0924,48164,4.218,True,inf
1001.pgm,512x512,0.99538,0.990431,6.359998,1265920.27,0.000945,0.000557,7.999284,259.63,0.00095,0.000558,7.99927,265.08,99.6056,40.7021,103.7904,99.6052,40.702,103.7901,1.601,0.0063,0.016,8377,5.295,True,inf
1002.pgm,512x512,0.945612,0.967236,6.700188,956929.53,0.001603,0.0007,7.999271,264.68,0.001595,0.000686,7.999211,286.36,99.6307,31.0259,79.1159,99.6304,31.0261,79.1165,8.247,0.0323,0.0825,43344,4.2574,True,inf
1003.pgm,512x512,0.966658,0.983548,7.018859,370113.43,-2.5e-05,-0.001576,7.999335,241.2,-2.2e-05,-0.001578,7.999358,232.88,99.6124,36.523,93.1336,99.612,36.5228,93.1331,6.3278,0.0248,0.0633,32845,3.9028,True,inf
1004.pgm,512x512,0.992107,0.995074,6.549736,1399400.15,0.000295,-0.000274,7.999366,231.02,0.000281,-0.000263,7.999262,268.21,99.6422,37.6672,96.0513,99.6414,37.6671,96.051,12.1334,0.0476,0.1213,63913,5.1981,True,inf
1005.pgm,512x512,0.984595,0.971217,6.962358,768868.76,0.003579,0.00076,7.999173,300.75,0.003586,0.00077,7.999183,296.99,99.6258,34.8416,88.8461,99.6258,34.8415,88.8458,1.5049,0.0059,0.015,7930,3.5378,True,inf
1006.pgm,512x512,0.872188,0.879164,7.45801,679077.65,-1.3e-05,0.002341,7.999268,265.98,-1.3e-05,0.002342,7.999263,267.47,99.6326,34.1656,87.1222,99.6326,34.1655,87.122,0.301,0.0012,0.003,1568,0.9969,True,inf
1007.pgm,512x512,0.897976,0.900606,7.337269,225065.92,-0.000482,-0.000509,7.999297,255.27,-0.000484,-0.000511,7.999286,259.14,99.6071,28.6576,73.0769,99.6059,28.6574,73.0763,6.6185,0.026,0.0662,34420,2.57,True,inf
1008.pgm,512x512,0.952212,0.96509,7.037344,373432.3,0.002833,0.001635,7.999298,255.09,0.002844,0.001653,7.999296,256.34,99.5995,35.1785,89.7051,99.5949,35.1785,89.7052,6.8111,0.0267,0.0681,35730,4.7926,True,inf
1009.pgm,512x512,0.957197,0.965878,7.09998,381049.2,-1e-06,0.001649,7.99931,250.7,7e-06,0.001656,7.999317,248.08,99.6166,36.0372,91.8948,99.6174,36.037,91.8944,7.8163,0.0307,0.0782,40862,4.0929,True,inf
101.pgm,512x512,0.92396,0.913759,7.583888,139135.73,0.000818,-0.001869,7.99933,243.41,0.000824,-0.001852,7.999303,253.39,99.6212,30.1736,76.9428,99.6166,30.1735,76.9424,5.6847,0.0223,0.0568,29769,2.3945,True,inf
1010.pgm,512x512,0.996444,0.982599,7.499877,140531.12,0.00139,0.001955,7.999339,240.55,0.001378,0.001979,7.999289,258.51,99.6021,32.8419,83.7468,99.6048,32.8419,83.7468,12.08,0.0474,0.1208,63103,5.1646,True,inf
1011.pgm,512x512,0.945999,0.95055,6.677243,797543.55,0.000559,0.000483,7.999411,214.32,0.00056,0.000491,7.99946,196.34,99.6101,40.4325,103.1029,99.609,40.4327,103.1034,7.5687,0.0297,0.0757,39333,4.1318,True,inf
1012.pgm,512x512,0.932363,0.899409,6.942319,369978.29,0.00502,0.001469,7.999322,246.44,0.005022,0.001464,7.999328,244.06,99.6132,29.9809,76.4512,99.614,29.9807,76.4509,3.9684,0.0156,0.0397,20924,3.7987,True,inf
1013.pgm,512x512,0.976807,0.973882,7.334179,218135.86,0.001672,8.4e-05,7.999219,284.15,0.001663,8.2e-05,7.999176,300.0,99.6307,32.0404,81.7029,99.6311,32.0404,81.7029,4.8042,0.0188,0.048,25100,4.657,True,inf
1014.pgm,512x512,0.967363,0.967913,6.816947,593416.14,0.002004,-0.000251,7.999236,277.68,0.002003,-0.000253,7.999236,277.73,99.6136,38.0001,96.9004,99.612,38.0001,96.9002,0.9613,0.0038,0.0096,5030,5.3076,True,inf
1015.pgm,512x512,0.967276,0.960025,7.287448,248479.68,0.001539,0.001411,7.999321,247.02,0.001542,0.001407,7.999285,259.77,99.6258,31.6841,80.7943,99.6258,31.6841,80.7946,1.4244,0.0056,0.0142,7571,4.3768,True,inf
1016.pgm,512x512,0.89812,0.897517,4.778284,2656967.25,0.003,0.002126,7.999251,271.56,0.002997,0.002117,7.9993,253.49,99.6151,25.5829,65.2365,99.6181,25.5824,65.2352,12.2078,0.0479,0.1221,64316,5.1693,True,inf
1017.pgm,512x512,0.998367,0.99632,6.659433,875888.55,-0.00073,0.002109,7.999358,233.2,-0.000729,0.002136,7.999337,240.9,99.617,39.7964,101.4809,99.6166,39.7966,101.4813,7.8468,0.0308,0.0785,40984,5.6635,True,inf
1018.pgm,512x512,0.998376,0.994719,7.235607,665292.97,0.000154,0.001825,7.999139,313.01,0.000157,0.001828,7.999202,290.41,99.5979,37.2325,94.9429,99.5983,37.2325,94.943,3.809,0.0149,0.0381,20089,5.427,True,inf
1019.pgm,512x512,0.963449,0.947477,7.397412,221458.2,0.002323,-0.000402,7.999366,230.47,0.002334,-0.000395,7.999357,233.88,99.614,31.1517,79.4369,99.6086,31.1518,79.437,7.2823,0.0286,0.0728,38181,4.0541,True,inf
102.pgm,512x512,0.918462,0.915822,7.339519,219706.72,0.001067,0.00089,7.999125,317.97,0.001072,0.000886,7.999129,316.15,99.6265,31.8393,81.1901,99.6277,31.8391,81.1898,6.5742,0.0258,0.0657,34552,3.146,True,inf
1020.pgm,512x512,0.959002,0.946899,7.295668,302585.55,0.000112,-0.0021,7.999236,277.35,0.000126,-0.002101,7.999225,281.04,99.617,29.7266,75.8028,99.6132,29.7267,75.803,4.0085,0.0157,0.0401,21035,3.8379,True,inf
1021.pgm,512x512,0.882265,0.863758,6.92348,409794.25,0.001214,9e-06,7.999091,330.54,0.001217,6e-06,7.999106,324.99,99.6284,28.9911,73.9272,99.6288,28.9908,73.9266,1.2974,0.0051,0.013,6757,2.6549,True,inf
1022.pgm,512x512,0.922159,0.888315,6.705429,458395.76,0.002321,0.0018,7.999302,253.54,0.002327,0.001798,7.999307,251.73,99.5972,28.5165,72.717,99.5968,28.5165,72.7171,0.7484,0.0029,0.0075,3830,3.3441,True,inf
1023.pgm,512x512,0.96308,0.981139,7.292077,284199.95,0.002438,3.7e-05,7.999266,266.87,0.002436,4.1e-05,7.999276,263.34,99.6067,30.7719,78.4684,99.6078,30.772,78.4686,1.3802,0.0054,0.0138,7211,4.3474,True,inf
1024.pgm,512x512,0.985145,0.979244,7.224365,229231.62,0.001688,0.00106,7.999262,268.16,0.001684,0.001058,7.999288,258.62,99.6315,32.1717,82.0378,99.638,32.1719,82.0383,4.3453,0.017,0.0435,22895,5.4625,True,inf
1025.pgm,512x512,0.991794,0.980676,7.61931,118940.93,0.000738,0.002146,7.999305,252.21,0.000746,0.002145,7.999304,252.95,99.6201,29.9757,76.4381,99.6204,29.9757,76.4379,9.301,0.0365,0.093,48640,4.9401,True,inf
1026.pgm,512x512,0.978819,0.98463,7.55561,257190.02,0.001072,0.001084,7.999422,209.82,0.001077,0.001085,7.999391,221.15,99.6033,36.7995,93.8387,99.6048,36.7996,93.8389,4.3465,0.017,0.0435,22915,3.8276,True,inf
1027.pgm,512x512,0.996297,0.994978,7.481763,422363.19,0.000867,0.006112,7.999311,250.04,0.00086,0.006113,7.999277,262.75,99.6269,36.0799,92.0037,99.625,36.08,92.0039,6.2622,0.0246,0.0626,32515,4.7476,True,inf
1028.pgm,512x512,0.965814,0.975184,7.13614,363539.87,-0.000174,0.001885,7.999328,244.25,-0.000179,0.001877,7.99934,239.67,99.6063,33.5067,85.442,99.6056,33.5067,85.4422,5.1388,0.0202,0.0514,26749,4.671,True,inf
1029.pgm,512x512,0.987306,0.991925,6.956697,1043786.45,0.002236,0.002556,7.999374,226.97,0.002254,0.002553,7.999351,235.55,99.6059,36.1675,92.2271,99.604,36.1677,92.2277,5.3772,0.0211,0.0538,27865,4.6895,True,inf
103.pgm,512x512,0.974067,0.984049,7.510713,177578.19,0.00464,0.001563,7.999386,223.25,0.004645,0.001578,7.999362,231.75,99.625,29.5516,75.3567,99.6258,29.5519,75.3573,10.0204,0.0393,0.1002,52911,5.0604,True,inf
1030.pgm,512x512,0.99524,0.988694,7.726828,103251.81,0.003246,0.001858,7.999295,255.58,0.00324,0.001862,7.999277,262.44,99.6136,35.5666,90.6948,99.6124,35.5663,90.6942,7.9395,0.0311,0.0794,41707,4.8974,True,inf
1031.pgm,512x512,0.98727,0.993965,6.107498,2329143.14,-0.000981,0.001737,7.999309,251.23,-0.000963,0.001721,7.99924,276.46,99.6269,37.9791,96.8468,99.6231,37.9789,96.8461,15.5956,0.0612,0.156,81781,6.1416,True,inf
