image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
1.pgm,512x512,35381,4.8544,TRUE,inf,-0.000950511,0.002385396,7.999196063,291.9980469,87.87231445,1.933454626
10.pgm,512x512,12524,3.5667,TRUE,inf,-0.000338159,0.001747671,7.999321531,246.7753906,94.62852478,4.288503609
100.pgm,512x512,44203,4.1156,TRUE,inf,0.000907883,0.003782157,7.999199326,291.3164063,88.97171021,3.749741199
1000.pgm,512x512,49150,4.2723,TRUE,inf,0.001075319,0.001824466,7.999356152,234.8867188,88.03253174,3.699424594
10000.pgm,512x512,48164,4.218,TRUE,inf,0.000258837,0.001333297,7.99928585,259.6503906,88.19351196,3.706029256
1001.pgm,512x512,8377,5.295,TRUE,inf,0.001830381,0.002927789,7.999250416,272.6074219,86.328125,1.054504993
1002.pgm,512x512,43344,4.2574,TRUE,inf,0.001262842,0.002935593,7.99925406,271.6796875,89.11857605,3.758891985
1003.pgm,512x512,32845,3.9028,TRUE,inf,0.001626203,0.002411767,7.99925816,269.1210938,91.05300903,3.935703951
1004.pgm,512x512,63913,5.1981,TRUE,inf,-0.000143909,0.002144607,7.999369322,228.6132813,83.1161499,1.726723465
1005.pgm,512x512,7930,3.5378,TRUE,inf,-0.001238217,0.003210652,7.999306094,252.2226563,95.40214539,4.317813948
1006.pgm,512x512,1568,0.9969,TRUE,inf,0.00119773,0.000149599,7.999392986,220.9609375,99.30953979,35.92936048
1007.pgm,512x512,34420,2.57,TRUE,inf,-0.001700111,0.00222344,7.999263461,267.9492188,92.74787903,15.62263638
1008.pgm,512x512,35730,4.7926,TRUE,inf,0.001107797,0.002582413,7.999353008,235.2070313,87.86468506,1.946654974
1009.pgm,512x512,40862,4.0929,TRUE,inf,-0.001661867,0.003981139,7.999251704,271.8789063,89.61715698,3.825577381
101.pgm,512x512,29769,2.3945,TRUE,inf,0.002796735,0.005511395,7.999303546,253.5234375,93.65882874,15.84507363
1010.pgm,512x512,63103,5.1646,TRUE,inf,0.002178858,0.001502038,7.999328737,243.2050781,83.27713013,1.729115505
1011.pgm,512x512,39333,4.1318,TRUE,inf,1.15E-05,0.000366943,7.999296387,255.7070313,89.80445862,3.855601292
1012.pgm,512x512,20924,3.7987,TRUE,inf,-0.000361474,0.002453319,7.999297405,255.2089844,93.1602478,4.162741268
1013.pgm,512x512,25100,4.657,TRUE,inf,-0.000872725,0.002797086,7.99914447,310.3828125,89.58282471,2.040699978
