image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
1.pgm,256x256,0.990186,0.99538,6.843137,331049.66,0.00031,0.004611,7.996999,271.74,0.00034,0.004576,7.996955,276.66,99.585,38.5547,98.3145,99.5941,38.5543,98.3136,5.8868,0.0231,0.0589,7674,5.5823,True,inf
10.pgm,256x256,0.965938,0.980759,7.624702,45999.01,-0.003113,0.003979,7.997348,242.87,-0.003125,0.003999,7.997211,255.84,99.6246,34.5799,88.1788,99.6277,34.58,88.179,5.1712,0.0203,0.0517,6750,3.9072,True,inf
100.pgm,256x256,0.951856,0.947351,7.617299,27991.01,0.003293,0.002178,7.997392,236.95,0.003287,0.002188,7.997507,226.12,99.6368,32.1258,81.9208,99.6384,32.1258,81.9207,2.2736,0.0089,0.0227,2906,2.8418,True,inf
1000.pgm,256x256,0.984615,0.981768,6.80488,124883.55,-0.001795,0.001663,7.997161,259.2,-0.001807,0.001671,7.997071,266.58,99.6033,32.4484,82.7434,99.6017,32.4475,82.7412,9.8511,0.0386,0.0985,12966,5.0728,True,inf
10000.pgm,256x256,0.994025,0.982635,6.589004,147317.0,0.003441,0.004348,7.997285,246.2,0.0034,0.004341,7.997716,207.7,99.6429,26.7044,68.0962,99.6414,26.7038,68.0948,10.0143,0.0393,0.1001,13164,4.9932,True,inf
1001.pgm,256x256,0.924018,0.955765,7.833515,14003.07,0.004226,0.004211,7.997186,254.11,0.004229,0.004209,7.997193,253.51,99.5895,32.8515,83.7714,99.5911,32.8516,83.7715,0.1923,0.0008,0.0019,243,2.6284,True,inf
1002.pgm,256x256,0.820624,0.729294,5.776791,339882.23,0.008557,0.002319,7.996969,275.28,0.008547,0.002358,7.997181,256.37,99.6033,25.6592,65.4309,99.5941,25.6592,65.4309,6.781,0.0266,0.0678,8883,3.9602,True,inf
1003.pgm,256x256,0.994737,0.994876,6.686409,137026.23,0.004093,0.00221,7.997496,226.6,0.004107,0.002209,7.997522,224.42,99.6033,32.7011,83.3878,99.6078,32.7014,83.3885,1.4862,0.0058,0.0149,1892,5.2803,True,inf
1004.pgm,256x256,0.908876,0.906643,7.746416,19341.96,0.004175,0.001558,7.997226,252.93,0.004196,0.001571,7.997216,253.03,99.5941,31.2719,79.7434,99.6002,31.2721,79.7438,3.4561,0.0136,0.0346,4578,1.3364,True,inf
1005.pgm,256x256,0.949105,0.912248,7.315661,65067.07,0.006006,0.00026,7.996828,288.39,0.005985,0.000242,7.996795,291.35,99.5728,29.0818,74.1586,99.5773,29.0816,74.1582,2.9572,0.0116,0.0296,3685,2.8896,True,inf
1006.pgm,256x256,0.986678,0.98005,7.462717,46708.37,0.003146,0.002702,7.997111,263.13,0.003144,0.002678,7.99712,262.71,99.6002,33.2252,84.7244,99.5941,33.2259,84.726,7.8491,0.0308,0.0785,10147,4.8857,True,inf
1007.pgm,256x256,0.975419,0.952078,7.353677,54641.01,0.008104,-0.000172,7.996984,274.62,0.008103,-0.000173,7.996983,274.73,99.6246,30.4539,77.6574,99.6262,30.4539,77.6575,0.1221,0.0005,0.0012,151,4.3225,True,inf
1008.pgm,256x256,0.897233,0.898255,7.704297,22494.65,0.007687,0.002506,7.997629,215.0,0.007697,0.002491,7.997441,232.41,99.6155,31.2092,79.5835,99.6185,31.209,79.5829,2.8854,0.0113,0.0289,3812,1.2698,True,inf
1009.pgm,256x256,0.981233,0.979765,4.788664,2576446.39,0.005062,0.004479,7.997016,271.05,0.00509,0.004459,7.996921,279.29,99.6323,37.5756,95.8178,99.6338,37.5762,95.8192,7.2418,0.0284,0.0724,9337,5.7378,True,inf
101.pgm,256x256,0.970209,0.964801,7.543415,48348.91,0.000889,0.000176,7.997335,242.99,0.0009,0.000164,7.997323,244.38,99.6033,32.6898,83.3589,99.6033,32.6901,83.3597,1.4587,0.0057,0.0146,1891,3.5571,True,inf
1010.pgm,256x256,0.995453,0.990866,6.810322,104970.16,4.2e-05,-0.003002,7.997068,267.66,4.3e-05,-0.003004,7.997032,270.66,99.5773,29.0694,74.1271,99.5804,29.0692,74.1266,0.885,0.0035,0.0089,1141,5.2449,True,inf
1011.pgm,256x256,0.941008,0.87889,7.342616,90436.45,-0.001582,0.000385,7.997411,235.0,-0.001581,0.000384,7.997407,235.48,99.6597,29.9537,76.3819,99.6613,29.9537,76.3819,0.2853,0.0011,0.0029,376,1.7554,True,inf
1012.pgm,256x256,0.932174,0.913137,7.547608,63326.09,0.003958,-0.000745,7.997731,205.75,0.003974,-0.000729,7.997697,208.95,99.6399,31.2384,79.6578,99.6475,31.2384,79.658,2.7802,0.0109,0.0278,3580,2.1301,True,inf
1013.pgm,256x256,0.995054,0.984667,7.150392,88425.98,0.003565,-0.000506,7.997074,264.76,0.003587,-0.000543,7.997254,248.78,99.6216,35.9152,91.5838,99.6262,35.9157,91.5849,5.8289,0.0229,0.0583,7586,4.7361,True,inf
1014.pgm,256x256,0.904767,0.886882,6.965291,80800.06,0.004274,0.006293,7.997477,229.17,0.004298,0.006285,7.997536,223.77,99.6231,31.0763,79.2446,99.6368,31.0766,79.2453,6.0501,0.0237,0.0605,7901,2.3611,True,inf
1015.pgm,256x256,0.938406,0.917062,7.298316,84474.05,0.003553,-0.000355,7.997463,231.75,0.003542,-0.00034,7.997435,234.19,99.5895,35.7822,91.2446,99.5911,35.7815,91.2428,2.1759,0.0085,0.0218,2845,1.991,True,inf
