image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
1.pgm,256x256,7674,5.5823,TRUE,inf,0.003618448,-0.000787477,7.997190125,256.6015625,83.07495117,0.989595301
10.pgm,256x256,6750,3.9072,TRUE,inf,0.004606968,-0.004976626,7.997316113,242.6328125,92.02575684,4.069967831
100.pgm,256x256,2906,2.8418,TRUE,inf,0.003107853,0.005723935,7.996634912,305.375,96.28143311,8.594904881
1000.pgm,256x256,12966,5.0728,TRUE,inf,0.001486122,0.002132029,7.997271785,248.109375,84.91516113,1.815281288
10000.pgm,256x256,13164,4.9932,TRUE,inf,0.004495954,0.00264742,7.997245099,251.1484375,85.0479126,1.790585985
1001.pgm,256x256,243,2.6284,TRUE,inf,-0.001114339,0.006014747,7.997130028,260.1015625,98.28186035,8.893444585
1002.pgm,256x256,8883,3.9602,TRUE,inf,0.006994534,0.000783897,7.99705238,268.140625,90.60668945,3.876677868
1003.pgm,256x256,1892,5.2803,TRUE,inf,0.00468017,-0.001244319,7.99724769,250.421875,86.3571167,1.057529823
1004.pgm,256x256,4578,1.3364,TRUE,inf,0.0094651,0.000450042,7.996956005,276.2421875,96.05712891,32.99080643
1005.pgm,256x256,3685,2.8896,TRUE,inf,0.008472005,0.000792182,7.997639674,214.0546875,95.70770264,8.391789455
1006.pgm,256x256,10147,4.8857,TRUE,inf,0.000853697,0.004473113,7.997571917,220.5625,87.0803833,1.908694997
1007.pgm,256x256,151,4.3225,TRUE,inf,0.004007158,0.00655492,7.997020498,270.421875,93.60198975,2.212919347
1008.pgm,256x256,3812,1.2698,TRUE,inf,-0.000237569,-0.00246212,7.997373825,238.3984375,96.68884277,33.40903488
1009.pgm,256x256,9337,5.7378,TRUE,inf,0.008108611,0.002248988,7.997059044,267.34375,82.10144043,0.974689558
101.pgm,256x256,1891,3.5571,TRUE,inf,-0.000503173,0.003674014,7.996884091,283.328125,95.50323486,4.37827316
1010.pgm,256x256,1141,5.2449,TRUE,inf,0.003223177,0.003446513,7.997592493,218.625,87.05291748,1.076247271
1011.pgm,256x256,376,1.7554,TRUE,inf,0.005233364,0.001855192,7.9971954,255.828125,98.91815186,17.77993595
1012.pgm,256x256,3580,2.1301,TRUE,inf,0.005990165,0.003624953,7.996891221,281.1953125,96.56677246,16.87063778
1013.pgm,256x256,7586,4.7361,TRUE,inf,0.001496725,-0.000557512,7.997318195,243.6015625,88.6932373,1.985772825
1014.pgm,256x256,7901,2.3611,TRUE,inf,0.000581534,0.004871844,7.997084089,265.1015625,93.29681396,15.77257343
1015.pgm,256x256,2845,1.991,TRUE,inf,0.006820063,0.000490409,7.997306209,245.2578125,97.04742432,17.13874368
1016.pgm,256x256,5517,2.2754,TRUE,inf,-0.000846869,0.010510685,7.996631112,304.078125,95.09887695,16.2894694
1017.pgm,256x256,6503,3.106,TRUE,inf,0.000392975,0.002396088,7.997309096,244.1796875,93.65997314,8.080791399
1018.pgm,256x256,8538,6.4482,TRUE,inf,0.002745266,0.003911515,7.997168344,257.21875,72.0123291,0.47076057
1019.pgm,256x256,5116,1.3889,TRUE,inf,-0.000286609,0.002411683,7.997187476,254.6953125,95.71228027,32.76918897
102.pgm,256x256,623,3.491,TRUE,inf,0.002024842,-0.000193227,7.996850354,286.1640625,96.49658203,4.455847647
1020.pgm,256x256,7161,4.0139,TRUE,inf,0.000270339,0.003999632,7.997706842,208.4140625,91.9418335,4.053398581
1021.pgm,256x256,4790,1.3569,TRUE,inf,0.002100467,0.005294529,7.997057593,268.953125,96.01593018,32.83851175
1022.pgm,256x256,6582,3.811,TRUE,inf,-2.07E-05,0.003071042,7.997444746,233.0234375,92.1875,4.078434963
1023.pgm,256x256,13762,5.1274,TRUE,inf,0.005113335,0.004051632,7.997062303,267.0078125,84.49401855,1.79478664
1024.pgm,256x256,1494,1.0583,TRUE,inf,0.005629739,0.002616936,7.996797104,289.34375,98.47564697,34.61940391
1025.pgm,256x256,8119,3.2222,TRUE,inf,0.001514603,0.000944491,7.997291597,246.5390625,92.47589111,7.893012552
1026.pgm,256x256,10163,3.9939,TRUE,inf,0.003906452,0.003061059,7.997068158,266.3671875,89.59350586,3.817575492
1027.pgm,256x256,3042,2.0615,TRUE,inf,0.005825329,0.000745275,7.997091284,263.7109375,96.96044922,17.13640998
1028.pgm,256x256,5424,4.5356,TRUE,inf,0.001842137,0.005339035,7.997246611,250.046875,90.0390625,2.052666159
1029.pgm,256x256,2709,1.2832,TRUE,inf,0.003860462,0.000402172,7.997220805,251.84375,97.5402832,33.72973274
103.pgm,256x256,2224,4.4678,TRUE,inf,0.006248106,0.006081732,7.997203917,253.703125,92.23480225,2.162858552
1030.pgm,256x256,1375,1.8647,TRUE,inf,0.003645602,0.004436605,7.997003205,271.140625,98.23455811,17.65826057
1031.pgm,256x256,7727,4.8979,TRUE,inf,0.002382562,0.000969372,7.997717496,207.2265625,88.4185791,2.032243317
1032.pgm,256x256,5948,1.5103,TRUE,inf,0.006210443,0.002343099,7.996867077,284.546875,95.04089355,32.41523294
1033.pgm,256x256,7842,1.7024,TRUE,inf,0.002224401,-0.002028123,7.997311194,243.46875,93.67370605,31.44229066
1034.pgm,256x256,4712,3.0481,TRUE,inf,0.003282822,-0.004231826,7.997339156,240.7578125,94.99816895,8.302648208
1035.pgm,256x256,288,2.6279,TRUE,inf,0.000723673,0.003056474,7.99726007,249.1640625,98.1262207,8.884026023
1036.pgm,256x256,14427,5.106,TRUE,inf,0.003957307,0.002750021,7.997180513,256.15625,83.93859863,1.766231761
