Image,mean_zero_planes
1.pgm,5.05078125
10.pgm,3.833984375
100.pgm,4.28277587890625
1000.pgm,4.53558349609375
10000.pgm,4.42822265625
1001.pgm,5.31585693359375
1002.pgm,4.6624755859375
1003.pgm,4.06121826171875
1004.pgm,5.24285888671875
1005.pgm,3.90948486328125
1006.pgm,2.06640625
1007.pgm,3.39874267578125
1008.pgm,4.88739013671875
1009.pgm,4.3143310546875
101.pgm,3.1441650390625
1010.pgm,5.19232177734375
1011.pgm,4.423095703125
1012.pgm,4.2020263671875
1013.pgm,4.81964111328125
1014.pgm,5.41632080078125
1015.pgm,4.5157470703125
1016.pgm,5.170166015625
1017.pgm,5.6767578125
1018.pgm,5.4407958984375
1019.pgm,4.28857421875
102.pgm,3.4566650390625
1020.pgm,4.31329345703125
1021.pgm,3.253662109375
1022.pgm,3.5098876953125
1023.pgm,4.43865966796875
1024.pgm,5.48565673828125
1025.pgm,4.96051025390625
1026.pgm,4.19781494140625
1027.pgm,4.86492919921875
1028.pgm,4.806396484375
1029.pgm,4.82135009765625
103.pgm,5.17620849609375
1030.pgm,5.03466796875
1031.pgm,6.17327880859375
1032.pgm,3.36651611328125
1033.pgm,3.91180419921875
1034.pgm,5.10064697265625
1035.pgm,4.87054443359375
1036.pgm,3.7760009765625
1037.pgm,6.3201904296875
1038.pgm,5.86370849609375
1039.pgm,3.68536376953125
104.pgm,4.71124267578125
1040.pgm,3.9949951171875
1041.pgm,2.517578125
1042.pgm,6.0574951171875
1043.pgm,4.6107177734375
1044.pgm,6.13140869140625
1045.pgm,5.5130615234375
1046.pgm,5.03253173828125
1047.pgm,4.78289794921875
1048.pgm,4.43701171875
1049.pgm,6.115478515625
105.pgm,4.7138671875
1050.pgm,3.10565185546875
1051.pgm,5.00555419921875
1052.pgm,4.4686279296875
1053.pgm,5.1888427734375
1054.pgm,5.2601318359375
1055.pgm,3.2117919921875
1056.pgm,4.81512451171875
1057.pgm,4.5960693359375
1058.pgm,5.67449951171875
1059.pgm,5.235107421875
106.pgm,4.42919921875
1060.pgm,4.1224365234375
1061.pgm,3.28057861328125
1062.pgm,5.8424072265625
1063.pgm,5.734619140625
1064.pgm,4.186279296875
1065.pgm,5.71478271484375
1066.pgm,5.40362548828125
1067.pgm,5.30950927734375
1068.pgm,5.1051025390625
1069.pgm,3.1514892578125
107.pgm,3.360107421875
1070.pgm,3.72100830078125
1071.pgm,5.84466552734375
1072.pgm,5.3082275390625
1073.pgm,5.375244140625
1074.pgm,4.1104736328125
1075.pgm,3.29803466796875
1076.pgm,5.07208251953125
1077.pgm,3.935546875
1078.pgm,4.44940185546875
1079.pgm,4.8883056640625
108.pgm,2.92071533203125
1080.pgm,4.32684326171875
1081.pgm,4.2440185546875
1082.pgm,5.68115234375
1083.pgm,3.7242431640625
1084.pgm,4.892578125
1085.pgm,3.5115966796875
1086.pgm,6.01019287109375
1087.pgm,4.178955078125
1088.pgm,5.3153076171875
1089.pgm,4.5472412109375
109.pgm,5.0867919921875
1090.pgm,5.86163330078125
1091.pgm,6.2230224609375
1092.pgm,4.72650146484375
1093.pgm,6.2027587890625
1094.pgm,5.0322265625
1095.pgm,4.27581787109375
1096.pgm,4.6339111328125
