Image,z=0,z=1,z=2,z=3,z=4,z=5,z=6,z=7,z=8
1.pgm,0,297,1460,2702,4309,2009,294,120,5193
10.pgm,3,213,2083,5423,3961,2105,2373,223,0
100.pgm,0,45,1347,4806,3931,2143,2220,1883,9
1000.pgm,5,457,1928,2787,2503,2997,3702,1612,393
10000.pgm,0,190,1627,3228,3567,3481,2536,1505,250
1001.pgm,0,41,150,1016,2559,4573,5714,2327,4
1002.pgm,2,1330,2653,1636,1441,900,4372,4050,0
1003.pgm,16,248,1174,4482,5051,3238,1389,519,267
1004.pgm,10,203,265,1376,4552,3275,2091,2987,1625
1005.pgm,4,262,2914,5123,2724,3143,805,119,1290
1006.pgm,245,6906,5308,1835,997,468,176,147,302
1007.pgm,5,1596,5991,3604,1044,326,1239,2577,2
1008.pgm,8,377,588,1095,1863,7307,4905,108,133
1009.pgm,17,438,1595,2618,3548,4571,3253,113,231
101.pgm,7,1208,5537,3804,2733,1819,1139,137,0
1010.pgm,0,9,223,1733,4460,2873,2392,4692,2
1011.pgm,72,1441,1666,1565,2262,3377,4946,1049,6
1012.pgm,0,342,3133,3728,1931,1796,3828,1626,0
1013.pgm,9,149,1258,2438,2707,4003,2610,3197,13
1014.pgm,6,253,764,942,1780,3217,5054,4339,29
1015.pgm,1,137,1070,2997,3482,4512,3066,1118,1
1016.pgm,0,0,7,271,2138,8647,5153,168,0
1017.pgm,0,11,103,254,1221,4302,7823,2663,7
1018.pgm,0,26,100,450,3178,5085,3886,3159,500
1019.pgm,14,662,1590,2402,4205,3910,2368,1226,7
102.pgm,6,392,2349,5716,5522,2090,305,4,0
1020.pgm,5,363,3713,4298,1505,396,763,5320,21
1021.pgm,2,434,4688,5011,3184,2662,402,1,0
1022.pgm,0,22,1347,7689,5537,1191,566,32,0
1023.pgm,4,131,682,2263,5523,5143,1835,802,1
1024.pgm,2,43,168,582,1676,4250,7845,1816,2
1025.pgm,0,8,163,1297,3086,6365,5376,89,0
1026.pgm,7,575,2745,3506,1995,2599,3481,1475,1
1027.pgm,0,51,936,2645,1896,5057,4575,262,962
1028.pgm,3,241,989,1989,3240,3679,4505,1727,11
1029.pgm,2,179,991,3102,2863,3360,3304,1214,1369
103.pgm,2,247,825,1425,2089,3244,5807,2743,2
1030.pgm,5,147,1051,2620,2684,2275,2964,4620,18
1031.pgm,4,47,236,552,847,1525,4432,8565,176
1032.pgm,428,3381,3008,2119,2427,2313,1451,632,625
1033.pgm,1,307,2327,3425,5670,3054,896,103,601
1034.pgm,3,506,834,2701,2957,2450,1876,2498,2559
1035.pgm,0,15,453,1722,3771,4800,4759,838,26
1036.pgm,3,233,1153,4811,7191,2204,413,376,0
1037.pgm,0,0,137,385,440,1320,4976,9103,23
1038.pgm,0,0,57,327,798,3611,7409,4181,1
1039.pgm,4,107,2217,5878,5082,1456,887,748,5
104.pgm,0,131,1818,3617,2539,1364,2819,4087,9
1040.pgm,19,718,3007,3645,3435,1639,1613,2290,18
1041.pgm,294,5092,4375,2385,1769,1676,756,37,0
1042.pgm,0,16,152,365,886,2293,5895,6764,13
1043.pgm,0,294,1724,2651,2920,2666,4070,2055,4
1044.pgm,0,67,293,620,850,1131,5192,8111,120
1045.pgm,0,38,298,560,1235,3545,9609,1099,0
1046.pgm,3,71,162,727,4918,5255,2810,2434,4
1047.pgm,2,365,766,1132,3980,4999,3825,1315,0
1048.pgm,0,100,764,3613,5745,2624,1222,1731,585
1049.pgm,0,39,356,487,574,931,6969,7005,23
105.pgm,1,150,786,1464,3928,6292,2413,1332,18
1050.pgm,0,1208,6462,3481,1802,1806,1305,320,0
1051.pgm,0,42,391,1104,3216,5969,4470,1190,2
1052.pgm,0,244,2309,3398,2907,2344,1473,3700,9
1053.pgm,0,24,260,1071,3220,4625,5058,2104,22
1054.pgm,8,234,685,1155,2506,3593,4300,3900,3
1055.pgm,1,361,2883,6787,5646,686,20,0,0
1056.pgm,0,43,405,1525,4670,5047,3311,1382,1
1057.pgm,0,57,564,2364,6358,2940,1815,2285,1
1058.pgm,0,19,166,738,1912,2908,6270,4370,1
1059.pgm,4,88,508,1482,2537,3387,5513,2859,6
106.pgm,5,467,1806,2856,3004,3253,3419,1466,108
1060.pgm,0,88,2225,5183,3250,1343,2327,1966,2
1061.pgm,0,310,2498,6799,5864,889,23,1,0
1062.pgm,0,35,199,435,1697,3048,4858,6088,24
1063.pgm,0,1,24,132,539,3385,11691,612,0
1064.pgm,9,696,2619,3422,2589,1981,3351,1715,2
1065.pgm,2,143,451,446,845,2329,8954,3213,1
1066.pgm,0,69,352,617,1518,4004,8951,873,0
1067.pgm,4,299,1390,1663,1665,1626,4049,5665,23
1068.pgm,4,400,1353,1242,1863,3995,3308,4217,2
1069.pgm,10,2866,4805,2972,2202,929,1412,1187,1
107.pgm,1,138,3175,7610,3332,912,668,546,2
1070.pgm,0,248,2961,4721,3833,2683,1681,257,0
1071.pgm,0,57,199,412,600,1851,10443,2821,1
1072.pgm,0,13,114,940,3459,4311,4314,3230,3
1073.pgm,2,107,678,1803,2600,2799,2003,6353,39
1074.pgm,3,311,2637,5048,2762,2511,835,212,2065
1075.pgm,3,1454,2127,4865,6515,997,286,125,12
1076.pgm,0,6,324,1163,3319,4811,5700,1061,0
1077.pgm,5,784,2802,3814,3417,1857,2336,1271,98
1078.pgm,4,62,269,3105,5821,3664,2873,546,40
1079.pgm,1,112,767,2126,3752,3396,3534,2694,2
108.pgm,49,1775,5194,4625,2800,1192,591,155,3
1080.pgm,1,123,913,4389,4435,2349,2928,1246,0
1081.pgm,0,397,2410,2955,3183,3353,2648,1437,1
1082.pgm,0,90,428,635,933,2704,8184,3407,3
1083.pgm,1,646,3363,4378,2485,2587,2831,93,0
1084.pgm,1,35,486,1797,4499,3442,4312,1812,0
1085.pgm,2,1023,4600,3640,3000,1566,1310,1243,0
1086.pgm,0,88,513,1052,1053,1593,2602,9452,31
1087.pgm,0,47,1500,6484,2945,796,2076,2535,1
1088.pgm,0,108,541,2312,2075,2298,4184,4862,4
1089.pgm,0,7,539,2917,5109,3718,3240,632,222
109.pgm,0,43,704,1596,2537,3874,5842,1771,17
1090.pgm,0,9,86,312,906,2319,9564,3187,1
1091.pgm,0,0,20,467,524,1172,6853,7341,7
1092.pgm,0,43,520,3205,4031,2938,3823,1603,221
1093.pgm,1,81,229,709,1783,2116,3717,3038,4710
1094.pgm,0,68,369,2263,3295,3382,4288,2717,2
1095.pgm,0,38,346,3710,6867,2634,1966,823,0
1096.pgm,1,331,1412,3058,4112,1740,1668,4059,3
1097.pgm,14,242,719,1600,3994,4042,3493,2275,5
1098.pgm,2,262,2604,5254,3074,526,161,167,4334
1099.pgm,12,523,2799,2851,2630,2782,3252,1503,32
11.pgm,1,202,1422,3254,4663,3778,2130,891,43
110.pgm,3,1522,4993,4060,1499,738,391,170,3008
1100.pgm,1,329,1463,2666,3510,4717,2635,1063,0
1101.pgm,0,15,62,143,1243,3544,5102,6248,27
1102.pgm,0,154,771,1561,3945,3078,1073,5711,91
1103.pgm,2,423,2488,3381,2743,2674,3542,1131,0
1104.pgm,4,164,1379,6528,6484,1542,277,6,0
1105.pgm,0,104,442,909,2072,3416,6799,2557,85
1106.pgm,0,340,929,2260,6781,3782,721,412,1159
1107.pgm,0,325,836,1862,6895,4071,742,375,1278
1108.pgm,2,122,727,2122,3642,3443,3525,2801,0
1109.pgm,528,1603,619,1164,843,790,4894,5939,4
111.pgm,0,380,4390,3433,1329,710,1269,4862,11
1110.pgm,0,184,650,1226,2001,5392,6502,429,0
1111.pgm,0,5,146,1834,5800,4176,3395,1028,0
1112.pgm,4,67,167,278,299,1052,10485,4032,0
1113.pgm,35,507,1154,1502,1818,2612,5836,2778,142
1114.pgm,0,79,386,1032,5105,4817,981,3976,8
1115.pgm,19,519,3612,6742,3867,1276,336,13,0
1116.pgm,7,305,1639,3905,4098,4339,2002,89,0
1117.pgm,43,928,2265,2880,2680,2261,2659,2666,2
1118.pgm,3,286,955,1483,2123,5944,5437,152,1
1119.pgm,12,2281,5675,3568,2218,1132,905,587,6
112.pgm,1,255,1223,2798,2689,3210,4213,1993,2
